Persona,Segment,Audience,BusinessUnit
Video Pro,Simple Sharers,Creative Consumers,Creative Cloud
Pro Photographer,Simple Sharers,Creative Consumers,Creative Cloud
Artist/Illustrator,Simple Sharers,Creative Consumers,Creative Cloud
Marketer,Simple Sharers,Creative Consumers,Creative Cloud
Social Influencer,Simple Sharers,Creative Consumers,Creative Cloud
Small Business Owner,Simple Sharers,Creative Consumers,Creative Cloud
Designer (Multi-Media),Simple Sharers,Creative Consumers,Creative Cloud
Video Creator,Simple Sharers,Creative Consumers,Creative Cloud
Photographer,Simple Sharers,Creative Consumers,Creative Cloud
Artist,Simple Sharers,Creative Consumers,Creative Cloud
Designer/Publisher,Core HED Students,Students,EDU
Video Pro,Core HED Students,Students,EDU
Pro Photographer,Core HED Students,Students,EDU
Artist/Illustrator,Core HED Students,Students,EDU
Marketer,Core HED Students,Students,EDU
Social Influencer,Core HED Students,Students,EDU
Small Business Owner,Core HED Students,Students,EDU
Designer (Multi-Media),Core HED Students,Students,EDU
Video Creator,Core HED Students,Students,EDU
Photographer,Core HED Students,Students,EDU
Artist,Core HED Students,Students,EDU
Designer/Publisher,Non-Core HED Students,Students,EDU
Video Pro,Non-Core HED Students,Students,EDU
Pro Photographer,Non-Core HED Students,Students,EDU
Artist/Illustrator,Non-Core HED Students,Students,EDU
Marketer,Non-Core HED Students,Students,EDU
Social Influencer,Non-Core HED Students,Students,EDU
Small Business Owner,Non-Core HED Students,Students,EDU
Designer (Multi-Media),Non-Core HED Students,Students,EDU
Video Creator,Non-Core HED Students,Students,EDU
Photographer,Non-Core HED Students,Students,EDU
Artist,Non-Core HED Students,Students,EDU
Designer/Publisher,Mid-Market / Entrepreneur Decision-Makers,Business Decision-Makers,Document Cloud
Video Pro,Mid-Market / Entrepreneur Decision-Makers,Business Decision-Makers,Document Cloud
Pro Photographer,Mid-Market / Entrepreneur Decision-Makers,Business Decision-Makers,Document Cloud
Artist/Illustrator,Mid-Market / Entrepreneur Decision-Makers,Business Decision-Makers,Document Cloud
Marketer,Mid-Market / Entrepreneur Decision-Makers,Business Decision-Makers,Document Cloud
Social Influencer,Mid-Market / Entrepreneur Decision-Makers,Business Decision-Makers,Document Cloud
Small Business Owner,Mid-Market / Entrepreneur Decision-Makers,Business Decision-Makers,Document Cloud
Designer (Multi-Media),Mid-Market / Entrepreneur Decision-Makers,Business Decision-Makers,Document Cloud
Video Creator,Mid-Market / Entrepreneur Decision-Makers,Business Decision-Makers,Document Cloud
Photographer,Mid-Market / Entrepreneur Decision-Makers,Business Decision-Makers,Document Cloud
Artist,Mid-Market / Entrepreneur Decision-Makers,Business Decision-Makers,Document Cloud
Other,Working Parents,Individual,Creative Cloud
Other,Working Professionals,Individual,Creative Cloud
Other,Micro Entreneurs,Individual,Creative Cloud
